service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GCLR 25_26-39424,0,0,0,0,1,0,0,20250815,20251003
GCLR 25_26-39425,1,1,1,1,0,0,0,20250811,20251008
GCLR 25_26-39426,0,0,0,0,0,1,0,20250809,20251004
GCLR 25_26-39427,0,0,0,0,0,0,1,20250810,20251005
BT 25_26-40393,1,1,1,1,1,0,0,20250825,20251008
BT 25_26-40393-0000100,0,0,0,0,1,0,0,20250825,20251008
BT 25_26-40393-1000000,1,0,0,0,0,0,0,20250825,20251008
BT 25_26-40393-0111100,0,1,1,1,1,0,0,20250825,20251008
BT 25_26-40393-1111000,1,1,1,1,0,0,0,20250825,20251008
BT 25_26-40391,0,0,0,0,0,1,0,20250830,20251004
BT 25_26-40392,0,0,0,0,0,0,1,20250831,20251005
BT 25_26-40394,1,1,1,1,1,0,0,20250922,20250926
BT 25_26-40394-0000100,0,0,0,0,1,0,0,20250922,20250926
BT 25_26-40394-1111000,1,1,1,1,0,0,0,20250922,20250926
BT 25_26-40399,0,0,0,0,0,0,1,20251006,20251006
BT 25_26-40402,1,1,1,1,1,0,0,20250929,20251003
BT 25_26-40402-0000100,0,0,0,0,1,0,0,20250929,20251003
BT 25_26-40402-1111000,1,1,1,1,0,0,0,20250929,20251003
BBL 25_26-39417,1,1,1,1,1,0,0,20250811,20251008
BCC 25_26-39837,0,0,0,0,1,0,0,20250815,20251003
BCC 25_26-39840,1,1,1,1,0,0,0,20250811,20251008
BCC 25_26-39838,0,0,0,0,0,1,0,20250830,20251004
BCC 25_26-40030,0,0,0,0,0,1,0,20250809,20250823
BCC 25_26-39839,0,0,0,0,0,0,1,20250831,20251006
BCC 25_26-40029,0,0,0,0,0,0,1,20250810,20250824
CBL 25_26-39443,1,1,1,1,1,0,0,20250812,20251008
CBL 25_26-39443-0001000,0,0,0,1,0,0,0,20250812,20251008
CBL 25_26-39442,1,1,1,1,1,0,0,20250922,20251003
CBL 25_26-39442-0001000,0,0,0,1,0,0,0,20250922,20251003
CBL 25_26-39447,0,0,0,0,1,0,0,20250905,20250905
CBL 25_26-39441,1,0,0,0,0,0,0,20250811,20250811
CBL 25_26-39446,0,0,0,0,0,1,0,20250809,20251004
CBL 25_26-39444,0,0,0,0,0,0,1,20250810,20251006
CDC 25_26-40379,1,1,1,1,1,0,0,20250811,20251008
ATS_TBS 25-38421,1,1,1,1,1,0,0,20250908,20250909
ATS_TBS 25-38498,1,1,1,1,1,0,0,20250903,20250903
ATS_TBS 25-40381,0,0,0,0,0,1,0,20250823,20250823
ATS_TBS 25-40380,0,0,0,0,0,0,1,20250824,20250824
ATS_TBS 25-38494,0,0,0,0,0,0,1,20250831,20250907
BT 25_26-40365,0,0,0,0,0,0,1,20250813,20250813
QR 25_26-40331,0,0,0,0,1,0,0,20250815,20250815
QR 25_26-40328,1,1,1,1,0,0,0,20250811,20250811
QR 25_26-40326,0,0,0,0,0,1,0,20250809,20250809
QR 25_26-40312,0,0,0,0,0,0,1,20250813,20250813
QR 25_26-40327,0,0,0,0,0,0,1,20250810,20250810
QR 25_26-40330,1,1,1,1,0,0,0,20250814,20250814
QR 25_26-40329,1,1,1,1,0,0,0,20250812,20250812
LCBS 25_26-40191,0,0,0,0,1,0,0,20250815,20250815
LCBS 25_26-40192,1,1,1,1,1,1,1,20250811,20250811
LCBS 25_26-40192-1111111,1,1,1,1,1,1,1,20250811,20250811
KBL 25_26-39804,1,1,1,1,1,1,1,20250811,20250811
LCBS 25_26-40195,0,0,0,1,0,0,0,20250814,20250814
LCBS 25_26-40194,0,1,0,0,0,0,0,20250812,20250812
LCBS 25_26-40193,1,1,1,1,1,1,1,20250813,20250813
LCBS 25_26-40193-1111111,1,1,1,1,1,1,1,20250813,20250813
EVENT25_26-40332,1,1,1,1,1,0,0,20250811,20250815
EVENT25_26-40334,1,1,1,1,1,1,1,20250813,20250813
EVENT25_26-40333,0,0,0,0,0,1,1,20250809,20250817
ATS_MGB 25-38560,1,1,1,1,1,0,0,20250910,20250910
HBL 25_26-40301,0,0,0,1,0,0,0,20250814,20250814
HBL 25_26-40300,0,0,1,0,0,0,0,20250813,20250813
HBL 25_26-40302,1,0,0,0,0,0,0,20250811,20250811
HBL 25_26-40303,0,1,0,0,0,0,0,20250812,20250812
HBL 25_26-40304,1,1,1,1,0,0,0,20250818,20251008
HBL 25_26-40103,0,0,0,0,1,0,0,20250815,20250919
HBL 25_26-40110,0,0,0,0,1,0,0,20250905,20251003
HBL 25_26-40305,1,1,1,1,0,0,0,20250922,20251002
HBL 25_26-40105,0,0,0,0,0,1,0,20250809,20251004
HBL 25_26-40107,0,0,0,0,0,0,1,20250810,20251005
HBL 25_26-40108,0,0,0,0,0,0,1,20251006,20251006
MET 25_26-39105,1,1,1,1,1,0,0,20250811,20251008
MET 25_26-39105-0000100,0,0,0,0,1,0,0,20250811,20251008
BT 25_26-40237,1,1,1,1,1,0,0,20250818,20250821
BT 25_26-40237-0000100,0,0,0,0,1,0,0,20250818,20250821
BT 25_26-40237-1000000,1,0,0,0,0,0,0,20250818,20250821
BT 25_26-40237-0111100,0,1,1,1,1,0,0,20250818,20250821
BT 25_26-40237-1111000,1,1,1,1,0,0,0,20250818,20250821
MET 25_26-39106,0,0,0,0,0,1,0,20250830,20251004
MET 25_26-39107,0,0,0,0,0,0,1,20250831,20251005
BT 25_26-40240,1,1,1,1,1,0,0,20250811,20250814
BT 25_26-40240-0000100,0,0,0,0,1,0,0,20250811,20250814
BT 25_26-40240-1000000,1,0,0,0,0,0,0,20250811,20250814
BT 25_26-40240-0111100,0,1,1,1,1,0,0,20250811,20250814
