route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19-4158,19,"Salisbury - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19,E463A4,000000
26-4158,26,"Upper Mt Gravatt - RBWH via Fortitude Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/26,E463A4,000000
29-4158,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,000000
30-4158,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,000000
40-4158,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
50-4158,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
60-4158,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,000000
61-4158,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
77-4158,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,000000
100-4158,100,"Forest Lake/Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/100,E463A4,000000
101-4158,101,"Forest Lake - Oxley station via Inala and Durack",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/101,E463A4,000000
102-4158,102,"Inala - Oxley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/102,E463A4,000000
103-4158,103,"Centenary - Inala Plaza",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/103,E463A4,000000
104-4158,104,"Corinda High - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/104,E463A4,000000
105-4158,105,"Indooroopilly - PA Hospital via Yeronga",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/105,E463A4,000000
106-4158,106,"Mt Ommaney - Indooroopilly via Corinda",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/106,E463A4,000000
107-4158,107,"Yeerongpilly - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/107,E463A4,000000
109-4158,109,"Acacia Ridge - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/109,E463A4,000000
110-4158,110,"Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/110,E463A4,000000
112-4158,112,"Griffith Uni Mt Gravatt - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/112,E463A4,000000
113-4158,113,"Mt Gravatt Central - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/113,E463A4,000000
114-4158,114,"Tarragindi - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/114,E463A4,000000
115-4158,115,"Griffith University - Sunnybank Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/115,E463A4,000000
116-4158,116,"Upper Mt Gravatt - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/116,E463A4,000000
118-4158,118,"Forest Lake - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/118,E463A4,000000
119-4158,119,"QEII Hospital - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/119,E463A4,000000
120-4158,120,"Garden City - City via Tarragindi",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/120,E463A4,000000
121-4158,121,"Salisbury - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/121,E463A4,000000
122-4158,122,"Inala - Garden City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/122,E463A4,000000
123-4158,123,"Griffith University - Garden City via Sunnybank",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/123,E463A4,000000
125-4158,125,"Garden City - City/Valley via Salisbury",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/125,E463A4,000000
126-4158,126,"Heathwood - Sunnybank Plaza",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/126,E463A4,000000
127-4158,127,"Indooroopilly - Fairfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/127,E463A4,000000
130-4158,130,"Parkinson - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/130,E463A4,000000
131-4158,131,"Parkinson - City via Hellawell Rd",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/131,E463A4,000000
132-4158,132,"Parkinson/Algester - Garden City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/132,E463A4,000000
134-4158,134,"Griffith University - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/134,E463A4,000000
135-4158,135,"Parkinson - Griffith Uni busway Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/135,E463A4,000000
137-4158,137,"Sunnybank Hills - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/137,E463A4,000000
138-4158,138,"Algester - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/138,E463A4,000000
139-4158,139,"Sunnybank Hills - UQ Lakes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/139,E463A4,000000
140-4158,140,"Browns Plains - City Express via Mains Road",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/140,E463A4,000000
141-4158,141,"Browns Plains - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/141,E463A4,000000
142-4158,142,"Browns Plains - City Bullet",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/142,E463A4,000000
150-4158,150,"Browns Plains - City Express via Runcorn",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/150,E463A4,000000
152-4158,152,"Stretton - Garden City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/152,E463A4,000000
153-4158,153,"Drewvale - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/153,E463A4,000000
155-4158,155,"Eight Mile Plains - Griffith Uni via Sunnybank",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/155,E463A4,000000
156-4158,156,"Stretton - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/156,E463A4,000000
161-4158,161,"Wishart Outlook - Griffith University busway",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/161,E463A4,000000
162-4158,162,"Eight Mile Plains - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/162,E463A4,000000
169-4158,169,"Eight Mile Plains - UQ Lakes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/169,E463A4,000000
171-4158,171,"Garden City - City Rocket via Newnham Road",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/171,E463A4,000000
172-4158,172,"Garden City - PA Hospital via Greenslopes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/172,E463A4,000000
175-4158,175,"Garden City - City via Logan Rd",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/175,E463A4,000000
176-4158,176,"Garden City - City Rocket via Logan Road",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/176,E463A4,000000
177-4158,177,"Carindale - Griffith Uni Mt Gravatt",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/177,E463A4,000000
179-4158,179,"Garden City - UQ Express via Newnham Rd",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/179,E463A4,000000
180-4158,180,"Garden City - City Express via Mansfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/180,E463A4,000000
181-4158,181,"Carindale Heights - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/181,E463A4,000000
182-4158,182,"Garden City - Holland Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/182,E463A4,000000
183-4158,183,"Wishart - City Rocket via Mansfield",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/183,E463A4,000000
185-4158,185,"Garden City - City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/185,E463A4,000000
186-4158,186,"Wishart - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/186,E463A4,000000
189-4158,189,"Holland Park - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/189,E463A4,000000
192-4158,192,"Yeronga - City via UQ Lakes and Highgate Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/192,E463A4,000000
195-4158,195,"New Farm - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/195,E463A4,000000
196-4158,196,"Fairfield Gardens - Merthyr via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/196,E463A4,000000
197-4158,197,"City - South Brisbane Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/197,E463A4,000000
198-4158,198,"Highgate Hill Hail 'n' Ride",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/198,E463A4,000000
199-4158,199,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/199,E463A4,000000
200-4158,200,"Carindale Heights - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/200,E463A4,000000
201-4158,201,"Carindale Heights - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/201,E463A4,000000
202-4158,202,"Carindale - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/202,E463A4,000000
203-4158,203,"Carindale - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/203,E463A4,000000
204-4158,204,"Carindale - City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/204,E463A4,000000
205-4158,205,"Carindale Heights - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/205,E463A4,000000
206-4158,206,"Carindale - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/206,E463A4,000000
208-4158,208,"Carina - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/208,E463A4,000000
209-4158,209,"Carindale - UQ Lakes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/209,E463A4,000000
210-4158,210,"Cannon Hill - City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/210,E463A4,000000
211-4158,211,"Cannon Hill - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/211,E463A4,000000
